name,location,venue_type,website,capacity,parking,catering,accommodation,facilities,contact_name,contact_email,contact_phone,facebook,instagram,twitter,linkedin,tiktok,description,address,postcode,source,scraped_date,source_url,detected_town,christmas_party,private_dining,outdoor_space,wedding_licensed,parking_onsite,accommodation_onsite
Ashford Town Cricket Club,Kingsnorth,Party Venue,https://ashfordtown.play-cricket.com/home,Medium (1-150),Onsite parking,Kitchen: Yes - Medium - basic food preparation,No on-site accommodation,"Onsite parking: 30 spaces, Kitchen: Yes - Medium - basic food preparation, Bar: Yes - Manned",Gary,ashfordtowncc@gmail.com,07984 397028,https://www.facebook.com/ashfordtowncc/?locale=en_GB,https://www.instagram.com/ashfordtowncricketclub,https://www.twitter.com/@AshfordTown_CC,,,"Ashford Town Cricket Club’s lavishly refurbished Clubhouse is available to the community as the perfect venue for private parties, family celebrations, business meetings or social functions. Set in rural splendour, overlooking the rolling green acres of our cricket ground, the Clubhouse in the Ashford suburb of Kingsnorth can be reached in just 10 minutes from Junction 10 of the M20 and the Ashford International station. It has the capacity to cater for 100 people as a flexible private hire option available in the summer and winter months. We can also offer a fully stocked bar, and contacts for local caterers to ensure your event is a success. Flexibility of private hire enables us to make the Clubhouse available even on match days.","Stacians Park, Steeds Lane, Kingsnorth, Kent, TN26 1NQ",TN26 1NQ,venues4hire.org,2026-09-03T10:04:27.274111,https://venues4hire.org/venue/details/20199/ashford-town-cricket-club,ashford,False,True,False,False,True,False
Kings Hill Sports Park,Kings Hill,Party Venue,http://www.kingshillsportspark.org.uk/,Large (1-300),Onsite parking,Kitchen: Yes - Professional (manned),No on-site accommodation,"Onsite parking: 87 spaces, Disabled access, Disabled toilets, Lift, Kitchen: Yes - Professional (manned), Tables: 3 round tables,, 9 rectangle tables, Seating: 62 chairs, Cutlery, Crockery, Bar: Yes - Manned, WiFi, ×",Booking Administrator,,01732 872271,,,,,,"We are located within the beautiful Kent countryside in Kings Hill, Kent. As part of the Parish Council, KHSP is at the heart of sport and leisure in both the local community and Kent. All year round, our Park provides sport to everyone on our fully equipped 3G pitch. The pitch is expertly maintained and can be used for a range of sports. The pitch can be used as a full size pitch or divided into thirds. We have goals for 11v11, 9v9 or 7v7. A major advantage of our park being situated on the outskirts of Kings Hill is that it allows us to take advantage of the picturesque natural setting. Within this setting we have four outdoor grass football pitches. Pitch 1 is our showcase pitch. It has been recently renovated and new dugouts have been installed. Pitches 2, 4 and 5 have been professionally laid by our expert groundsmen and can be set up for 11v11, 9v9 or 7v7. Inside our Pavilion, you ","200 Beacon Avenue, Kings Hill, Kent, ME19 4QP",ME19 4QP,venues4hire.org,2026-09-03T10:04:29.069348,https://venues4hire.org/venue/details/37625/kings-hill-sports-park,maidstone,False,False,True,False,True,False
The Spitfire Grounds- Home of Kent County Cricket Club,Kent,Party Venue,http://www.thespitfiregroundstlawrence.co.uk/,Medium (1-150),Onsite parking,Kitchen: Yes - Professional (manned),No on-site accommodation,"Onsite parking: 250 spaces, Nearby parking: Within 500 metres, On-street parking, Disabled access, Disabled toilets, Lift, Kitchen: Yes - Professional (manned), Tables: 20 round tables,, 40 rectangle tables, Seating: 250 chairs,, 20 benches, Cutlery, Crockery, Bar: Yes - Manned, WiFi",Booking Administrator,,,,,,,,"YOUR EVENT'S DESTINATION THE SPITFIRE GROUND ST LAWRENCE, SET IN THE HEART OF CANTERBURY, IS ONE OF KENT'S LEADING CONFERENCE AND EVENTS VENUES. Kent County Cricket Club since 1847 and witnessed some of the sports greatest playing in its tranquil and unique surroundings. The Spitfire Ground St Lawrence offers businesses, groups and individuals a wealth of opportunities to entertain, celebrate, educate or host in a range of conference rooms, lounges and boxes. In 1847 The Spitfire Ground St Lawrence made history and became home to one of England's best known cricket clubs - Kent County Cricket Club. The ground is also one of the regions foremost conference and events venues with a fantastic selection of suites available for hire for all kinds of corporate and private occasions. Our aim is to deliver a truly unique venue experience, tailored to your requirements and we have the experience,","ST LAWRENCE, Canterbury, Kent, CT1 3NZ",CT1 3NZ,venues4hire.org,2026-09-03T10:04:29.985403,https://venues4hire.org/venue/details/25436/the-spitfire-grounds-home-of-kent-county-cricket-club,canterbury,False,False,True,False,True,False
Cudham Wyse CC,Cudham,Party Venue,http://www.cudhamwyse.co.uk/,Medium (1-150),No parking,No on-site catering,No on-site accommodation,,Bookings Administrator,,07748 621660,,,,,,"Sports Club - Cricket Medium (1-150) Welcome to the website of Cudham Wyse Cricket Club, a village cricket club from Cudham in North West Kent. With three Saturday teams including two playing in the Kent County Village League, one Sunday team and three youth sides, Cudham Wyse play both friendly and competitive cricket in scenic surroundings throughout the summer.","Cudham Lane, Cudham, Greater London, TN14 7QB",TN14 7QB,venues4hire.org,2026-09-03T10:04:33.600224,https://venues4hire.org/venue/details/20682/cudham-wyse-cc,sevenoaks,False,False,False,False,False,False
Dartford Cricket Club (Hesketh Park),Dartford,Party Venue,http://www.dartfordcc.co.uk/,Medium (1-150),No parking,No on-site catering,No on-site accommodation,,Bookings Administrator,admin@bytecodeconsulting.com,01322 225152,,https://www.instagram.com/dartfordcricket/,https://x.com/dartfordcricket,,,"Sports Club - Cricket Medium (1-150) Our new pavilion will provide for a range of hiring opportunities both regular and one off, from conferences to weddings, sports presentations to other social events.","Pilgrims Way, Dartford, Kent, DA1 1QZ",DA1 1QZ,venues4hire.org,2026-09-03T10:04:34.578160,https://venues4hire.org/venue/details/24359/dartford-cricket-club-hesketh-park,dartford,False,False,False,True,False,False
Hartley Country Club Cricket Club,Hartley,Party Venue,http://www.hartleycountryclub.co.uk/,Medium (1-150),No parking,No on-site catering,No on-site accommodation,,Bookings Administrator,,01474 702176,,,,,,Sports Club - Cricket Medium (1-150) Cricket Club that can be hired for the private functions.,"Hartley, Hartley, Kent, DA3 8BS",DA3 8BS,venues4hire.org,2026-09-03T10:04:36.445161,https://venues4hire.org/venue/details/20850/hartley-country-club-cricket-club,dartford,False,False,False,False,False,False
Redlibbets Golf Club,Ash,Party Venue,http://www.redlibbets.co.uk,Medium (1-150),Onsite parking,Kitchen: Yes - Professional (manned),No on-site accommodation,"Onsite parking, Disabled access, Disabled toilets, Kitchen: Yes - Professional (manned), Bar: Yes - Manned, WiFi",The Events Team,,01474 879190,,,,,,"At Redlibbets Golf Club, we take pride in being able to cater for a large variety of events; whether you are celebrating a birthday, anniversary or christening, we are confident that we can provide the right package for you. We work with each client to make sure the stress of planning their event is as minimal as possible, so that they can relax and enjoy their day as much as their guests do. Working with Lardercraft Catering, we have a range of menus that will suit every taste; from a simple Finger Buffet, to a more formal Three Course Dinner; from BBQ to Hog Roast; we provide all with professional service and delicious results. We can cater up to 120 for a sit down meal or up to 250 people for a finger buffet. Our bar prices are competitive but reasonable, and our bar staff are friendly and welcoming. If you are looking for the perfect background, our Resident DJ NRG Discotheques provi","Redlibbets Golf Club, Manor Lane, Ash, Kent, TN15 7HT",TN15 7HT,venues4hire.org,2026-09-03T10:04:50.564104,https://venues4hire.org/venue/details/9492/redlibbets-golf-club,sevenoaks,False,False,False,False,True,False
West Malling Golf Club,West Malling,Party Venue,http://www.westmallinggolf.com/functions_parties/,Small (1-50),Onsite parking,Kitchen: Yes - Professional (manned),No on-site accommodation,"Onsite parking: 200 spaces, Disabled access, Disabled toilets, Kitchen: Yes - Professional (manned), Tables: 20 round tables,, 10 rectangle tables, Seating: 200 chairs, Cutlery, Crockery, Bar: Yes - Manned, WiFi, Staging, Projector, Projector screen, PA system",The Events Team,,01732 844785,,,,,,"Celebrate your special occasion with us – West Malling Golf Club is the perfect venue for both formal and informal events. Whether your need is for a formal dinner dance awards ceremony, summer ball, birthday parties, anniversary or that special family party, our flexible facilities and friendly, experienced staff can help organise your event every step of the way.","West Malling Golf Club, Trottiscliffe Road, West Malling, Kent, ME19 5AR",ME19 5AR,venues4hire.org,2026-09-03T10:04:52.380107,https://venues4hire.org/venue/details/9474/west-malling-golf-club,maidstone,False,False,False,False,True,False
Allhallows Leisure Holiday Park,Allhallows,Party Venue,http://www.haven.com/parks/kent/allhallows/,Medium (1-150),No parking,No on-site catering,No on-site accommodation,×,Bookings Administrator,,01634 270385,https://www.facebook.com/havenofficial,https://www.instagram.com/havenofficial,,,https://www.tiktok.com/@havenofficial,Sports Club - Golf Medium (1-150) Step inside our park and you’ll soon feel far from everyday life. We think it has something to do with the wildlife here. The park slopes towards the estuary so we’ve got great views and there’s lots of green space – perfect for games of footie. Refuel in our bar and restaurant; it’s going to be bigger and even better with coastal decor and attractive terraces.,"Near Rochester, Allhallows, Kent, ME3 9QD",ME3 9QD,venues4hire.org,2026-09-03T10:04:55.115023,https://venues4hire.org/venue/details/19114/allhallows-leisure-holiday-park,maidstone,False,False,True,False,False,False
Ashford (Kent) Golf Club,Ashford,Party Venue,,Small (1-50),No parking,No on-site catering,No on-site accommodation,,Bookings Administrator,,01233 622655,,,,,,"Sports Club - Golf Small (1-50) The Club has a full social calendar of dinners, music nights, dances and quizzes. The Restaurant and Bar are also available for hire for functions and special occasions. Conveniently located close to the M20 and A20 and with ample car parking we can host sit down meals for up to 80 or buffets for 120, with a full bar and catering service. The facilities have been used for wedding receptions, funeral receptions, business meetings, parties, product launches and other similar functions. Use can be combined with society golf.","Sandyhurst Lane, Ashford, Kent, TN25 4NT",TN25 4NT,venues4hire.org,2026-09-03T10:04:56.184065,https://venues4hire.org/venue/details/9475/ashford-kent-golf-club,ashford,False,False,False,True,True,False
Bearsted Golf Club,Bearsted,Party Venue,http://www.bearstedgolfclub.co.uk/,Medium (1-150),No parking,No on-site catering,No on-site accommodation,,Bookings Administrator,office@bearstedgolfclub.co.uk,01622 738198,https://www.facebook.com/bearstedgolfclub,https://www.instagram.com/bearstedgolf,,,,"Sports Club - Golf Medium (1-150) 3 miles from Maidstone, 2 miles from junction 7 or 8 of the M20 and approximately 40 miles from central London. From junction 7 - follow Maidstone signs to first roundabout then take first exit (left). Pass Newnham Court Garden Village on your left, and straight across the next roundabout. Follow this road for one mile to Bearsted, and three hundred yards past the railway bridge - look for the entrance to the golf club on your left.","Ware Street, Bearsted, Kent, ME14 4PQ",ME14 4PQ,venues4hire.org,2026-09-03T10:04:57.980581,https://venues4hire.org/venue/details/19116/bearsted-golf-club,maidstone,False,False,True,False,False,False
Birchwood Park Golf Centre,Dartford,Party Venue,http://www.birchwoodparkgc.co.uk/,Medium (1-150),No parking,No on-site catering,No on-site accommodation,,Bookings Administrator,,01322 662038,https://www.facebook.com,https://www.instagram.com/p/Dct6G6rIFj_/,,,,"Sports Club - Golf Medium (1-150) Birchwood Park offers flexible options for meetings and functions to suit all your needs. We offer a conference day delegate package along with a dedicated events team which provides professional yet personal service ensuring your day runs smoothly. Our services include everything from the basic coffee break through to a fully serviced sit down 3 course meal, with our catering team providing delicious options and menu’s. -","Birchwood Road, Dartford, Kent, DA2 6QE",DA2 6QE,venues4hire.org,2026-09-03T10:05:02.073641,https://venues4hire.org/venue/details/21670/birchwood-park-golf-centre,dartford,False,False,False,False,False,False
Broome Park Golf Club,Barham,Party Venue,http://www.broomepark.co.uk/,Medium (1-150),No parking,No on-site catering,No on-site accommodation,Barham,Bookings Administrator,hello@thereachmcr.com,01227 831126,https://www.facebook.com/broomeparkhotel/,https://www.instagram.com/broomeparkhotel,,https://www.linkedin.com/company/broome-park-hotel/,,"Sports Club - Golf Medium (1-150) The Broome Park Estate was established during the reign of Charles I and has, as its centrepiece, a magnificent Mansion House; Grade 1 listed building. The house was completed around 1638 and is one of the finest examples of Carolean architecture in England.  The House has been refurbished to its former glory and boasts as one of its many previous owners - Horatio Herbert Kitchener, 1st Earl Kitchener of Khartoum. We have a superb 18-hole parkland Golf Course set within the private 268-acre estate.  The well-known golf course architect Donald Steel, designed the Golf Course and opened in 1981.  The course measures 6587yds off the Championship White Tees, has a Standard Scratch of 72 and Par 72.  The Course is an excellent test for all ages and levels of golfers. The finishing hole is particularly spectacular. The Course is easily accessible from the M2/A","The Broome Park Estate, Barham, Kent, CT4 6QX",CT4 6QX,venues4hire.org,2026-09-03T10:05:04.780127,https://venues4hire.org/venue/details/19121/broome-park-golf-club,canterbury,False,False,False,False,False,False
Chestfield Golf Club,Chestfield,Party Venue,http://www.chestfield-golfclub.co.uk/,Medium (1-150),No parking,No on-site catering,No on-site accommodation,,Bookings Administrator,golf@chestfield-golfclub.co.uk,01227 793563,https://www.facebook.com/chestfieldproshop/,https://www.instagram.com/chestfieldgolfclub/,,,,"Sports Club - Golf Medium (1-150) There are many reasons which will attract members and visitors to Chestfield. Not least, it boasts a course that is an excellent test of golf with its undulating fairways and greens, extensive tree-planting programme,coupled with magnificent views, all set in countryside worthy of a place in the Garden of England. Well known for its excellent cuisine and exceptional hospitality, Chestfield also boasts the 'oldest building in the World being used as a Clubhouse'. It dates back to the 15th century and is the heart of the golf club. There are few as warm and welcoming as that of Chestfield. Join us for the day, or longer, and enjoy a round of golf in an attractive part of the Kent countryside with a warm welcome in the Clubhouse from our members and staff.","103 Chestfield Rd, Chestfield, Kent, CT5 3LU",CT5 3LU,venues4hire.org,2026-09-03T10:05:07.507541,https://venues4hire.org/venue/details/19123/chestfield-golf-club,canterbury,False,False,True,False,False,False
Cobtree Manor Park Golf Course,Maidstone,Party Venue,,Medium (1-150),No parking,No on-site catering,No on-site accommodation,,Bookings Administrator,,01622 753276,,,,,,"Sports Club - Golf Medium (1-150) The shortness of the course can allow some low scoring rounds but do not underestimate the hazards that can test even the better players. Balls can easily become lost on the first 3 holes with the numerous trees that require accuracy off the tee. The back nine offers shots over water on 2 par threes, as well as awkwardly placed ditches on surrounding holes - a good mixture which keeps this course very interesting throughout the round. Tony August 4, 2005 A short yet challenging golf course that certainly requires accuracy off the tee. Many hazards await those who do not hit straight but low scores can be had on some of the short holes. The only par 5 is reachable in two only to the longest of hitters, and a big hill and ditch guarded green make reaching in two a hard job. Overall the course is excellent value for money and a great challenge. David Ryan F","Chatham Road, Maidstone, Kent, ME14 3AZ",ME14 3AZ,venues4hire.org,2026-09-03T10:05:08.424273,https://venues4hire.org/venue/details/18834/cobtree-manor-park-golf-course,maidstone,False,False,False,False,False,False
Corinthian Golf Club,Longfield,Party Venue,,Medium (1-150),No parking,No on-site catering,No on-site accommodation,,Bookings Administrator,,01474 573116,,,,,,Sports Club - Golf Medium (1-150) Play golf with a football. FootGolf combines the social aspect of golf with the excitement and skill of football”,"Valley Road, Longfield, Kent, DA3 8LY",DA3 8LY,venues4hire.org,2026-09-03T10:05:09.320975,https://venues4hire.org/venue/details/19125/corinthian-golf-club,dartford,False,False,False,False,False,False
Dartford Golf Club,Dartford,Party Venue,http://www.dartfordgolfclub.co.uk/,Medium (1-150),No parking,No on-site catering,No on-site accommodation,,Bookings Administrator,office@dartfordgolfclub.co.uk,01322 226455,https://www.facebook.com/DartfordGolfClub,https://www.instagram.com/dcg1897///pipe.formal.enjoy,https://www.twitter.com/@dartfordgolf,,,"Sports Club - Golf Medium (1-150) Dartford Golf Club is a private members' golf club - owned and run by our members who enjoy traditional courtesies and values. Our central location, accessible from both the A2 and M25, also makes us an ideal venue for your day out. Visitors are welcome with a current handicap certificate Mon - Fri. For Society Days contact the Secretary on 01322 226455. On arrival please enter the Professional's shop where you will find an excellent and polite team, who are well qualified to offer advice as well as a wide range of equipment, clothing and lessons for all levels and ages, including a Junior Academy. On playing your round you will discover a challenging parkland 18 hole course, with tight tree lined fairways, in superb condition and one which will offer an interesting challenge to both high and low handicap players alike. After a relaxing and enjoyable day","Heath Lane, Dartford, Kent, DA1 2TN",DA1 2TN,venues4hire.org,2026-09-03T10:05:10.231350,https://venues4hire.org/venue/details/19126/dartford-golf-club,dartford,False,False,False,False,False,False
Great Chart Golf & Leisure,Great Chart,Party Venue,http://www.shoottheboss.co.uk/,Medium (1-150),No parking,No on-site catering,No on-site accommodation,,Bookings Administrator,info@hubenterprise.co.uk,01233 645858,,,,,,"Sports Club - Golf Medium (1-150) Sands Café Bar offers a friendly welcome and a wide range of freshly prepared hot and cold food • Private functions and parties • Floodlit sand volleyball / beach soccer pitch • A large golf shop, with 3 P.G.A. teaching Professional, home to the Kent Golf Academy / Video tuition • Driving range (see information below) • Beach Soccer, Beach Volleyball and Paintball","Bears Lane, Great Chart, Kent, TN23 3BW",TN23 3BW,venues4hire.org,2026-09-03T10:05:12.015157,https://venues4hire.org/venue/details/19129/great-chart-golf-leisure,ashford,False,False,False,False,False,False
Hever Castle Golf Club,Edenbridge,Party Venue,,Medium (1-150),No parking,No on-site catering,No on-site accommodation,,Bookings Administrator,,01732 700771,,,,,,"Sports Club - Golf Medium (1-150) Hever Castle Golf Club is set within the historic Hever Castle estate, amid 250 acres of truly stunning countryside.  Whether you are planning an intimate or large gathering, Hever Castle Golf Club is one of the most beautiful venues you could choose for your Reception. The Bridge over the ornamental pond is a beautiful spot for capturing some photos for your day and the Princes Suite . We are proud to offer our elegant menus and fine wine selections however we are also more than happy to tailor menus and prices to suit your budgetary requirements. Our friendly and professional staff are on hand to offer a dedicated planning service to help make your special day a truly memorable occasion.","Main Street, Edenbridge, Kent, TN8 7NP",TN8 7NP,venues4hire.org,2026-09-03T10:05:14.723015,https://venues4hire.org/venue/details/9473/hever-castle-golf-club,tonbridge,False,False,False,False,False,False
Hilden Park Golf Club,Tonbridge,Party Venue,http://www.hildenpark.co.uk/,Medium (1-150),No parking,No on-site catering,No on-site accommodation,,Bookings Administrator,info@hildenpark.co.uk,01732 833607,https://www.facebook.com/hildenparkgolfrangegym,https://www.instagram.com/hildenpark_/,,,,"Sports Club - Golf Medium (1-150) Our family friendly golf course, driving range and gym is located in Hildenborough, just a short drive from Tonbridge and Tunbridge Wells. Welcome to Welcome to Hilden Park Golf and Leisure Club Hilden Park Golf and Leisure Club content_leaf At Hilden Park we take pride in offering a personal and friendly service, ensuring that visitors of all ages are made to feel welcome. Our 9 hole parkland Golf Course features tree lined fairways and a variety of hazards offering an enjoyable golfing experience to golfers of all abilities. While the golf course is maintained to exacting standards it offers exceptional value. Our gym covers 200 sq meters and incorporates 52 work stations, spin studio and assessment room. Along with our team of Super Trainers, Hilden Park Gym offers a unique personalised service supporting individuals to achieve their personal fitness ","Rings Hill, Tonbridge, Kent, TN11 8LX",TN11 8LX,venues4hire.org,2026-09-03T10:05:15.638179,https://venues4hire.org/venue/details/19132/hilden-park-golf-club,tonbridge,False,False,False,False,False,False
Holtye Golf Club,Holtye,Party Venue,http://www.holtye.com/,Medium (1-150),No parking,"Facilities include a huge practice range, pitching and bunker area with greens, a putting green, pro shop and a comfortable clubhouse with sky television and a full catering",No on-site accommodation,,Bookings Administrator,info@holtye.com,01342 850957,https://www.facebook.com/HoltyeGolfClub/,https://www.instagram.com/holtyegolfclub/,https://twitter.com/holtyegolfclub,,,"Sports Club - Golf Medium (1-150) In 2009, Golf Monthly put Holtye in their U.K. top twelve 9 hole courses. Recently, in a survey, professionals rated it ""a little gem"". Set in the rolling Sussex Weald, the Club's nine hole course offers very different front and back nines from alternative tees. Facilities include a huge practice range, pitching and bunker area with greens, a putting green, pro shop and a comfortable clubhouse with sky television and a full catering. New Members are welcome. Visitors can enjoy nine or eighteen holes, charged accordingly.","Cowden, Holtye, Sussex, TN8 7ED",TN8 7ED,venues4hire.org,2026-09-03T10:05:16.544954,https://venues4hire.org/venue/details/19484/holtye-golf-club,tonbridge,False,False,False,False,False,False
Kings Hill Golf Club,Kings Hill,Party Venue,http://www.kingshillgolf.co.uk/,Medium (1-150),No parking,No on-site catering,No on-site accommodation,,Bookings Administrator,office@kingshillgolf.co.uk,01732 875040,https://www.facebook.com/profile.php?id=100057134542767,,https://twitter.com/kingshillgolf?s=11&t=KfbezfJKq371RAna8CMsnw,,,"Sports Club - Golf Medium (1-150) Kings Hill Golf Club was founded in 1995 on an area of open heathland and woodland on the rolling slopes of the lower greensand ridge in central Kent and has since matured into a testing inland links. The course architect, David Williams, made excellent use of the natural features and gently undulating topography to create a course that has quickly established itself as one of the best golfing challenges in Kent. The course is characterised by traditional links turf, carries over heather and rough to narrow, fast running fairways and beautifully sculptured greens full of character and deceptive slopes. The course enjoys an excellent free draining geology and coupled with full USGA specification greens and tees makes it the driest inland course in all of Kent whatever the time of year. Whether you're an accomplished golfer or a beginner looking to improve","Kings Hill, Kings Hill, Kent, ME19 4AF",ME19 4AF,venues4hire.org,2026-09-03T10:05:17.453875,https://venues4hire.org/venue/details/19133/kings-hill-golf-club,maidstone,False,False,False,False,False,False
Tonbridge Juddians Rugby Club,Tonbridge,Party Venue,http://www.tjrfc.co.uk,Medium (1-150),Onsite parking,Kitchen: Yes - Professional (manned),No on-site accommodation,"Onsite parking: 10 spaces, Nearby parking: Within 30 metres, Disabled access, Disabled toilets, Kitchen: Yes - Professional (manned), Tables: 19 round tables,, 12 rectangle tables, Seating: 150 chairs, Cutlery, Crockery, Bar: Yes - Manned, WiFi, Projector screen, PA system, Main Hall",Booking administrator,,01732 358548,,,,,,"Our fantastic facilities are ideally centrally located in Tonbridge and the perfect venue for:  Parties, Anniversaries, Weddings, Meetings, Lunches, Sports Events, Dance Classes, Seminars etc. As well as an impressively stocked bar (real ale and all !), we have a large hall and a professional standard kitchen with high quality catering from www.woodiescatering.co.uk.  Plus free Wi-Fi. Please note - during the rugby season (September to April) the rugby club is in use at weekends, so Saturdays and Sundays are not available for hire.  Friday evenings are available. We do not do 18th or 21st Birthdays.","The Slade, Tonbridge, Kent, TN9 1HR",TN9 1HR,venues4hire.org,2026-09-03T10:05:20.576910,https://venues4hire.org/venue/details/22200/tonbridge-juddians-rugby-club,tonbridge,False,False,False,True,True,False
Ashford Rugby Club,Kennington,Party Venue,http://www.ashfordrugby.co.uk/,Medium (1-150),No parking,No on-site catering,No on-site accommodation,,Bookings Administrator,hello@ashfordrugby.co.uk,01233 624693,https://www.facebook.com/Ashford-Rugby-Club-100063746913157/,https://www.instagram.com/ashford_rugby_club/,,,,Sports Club - Rugby Medium (1-150) A club that can be hired for private functions. Throughout the year Ashford Rugby Club is available for hire.,"Canterbury Road, Kennington, Kent, TN24 9QB",TN24 9QB,venues4hire.org,2026-09-03T10:05:21.487932,https://venues4hire.org/venue/details/22109/ashford-rugby-club,ashford,False,False,False,False,False,False
Aylesford Pavillion,Aylesford,Party Venue,http://www.aylesfordfc.co.uk,Small (1-50),Onsite parking,Kitchen: Yes - Medium - basic food preparation,No on-site accommodation,"Onsite parking: 30 spaces, Nearby parking: Within 30 metres, Disabled access, Disabled toilets, Kitchen: Yes - Medium - basic food preparation, Tables: 8 rectangle tables, Seating: 30 chairs, Cutlery, Crockery, WiFi, Projector",Booking Administrator,,01622 296710,,,,,,Sports Club - Other Small (1-50) Small Meeting Style room with Kitchen and Toilets. Friendly Community Atmosphere.,"26, Forstal Road, Aylesford, England, ME20 7AU",ME20 7AU,venues4hire.org,2026-09-03T10:05:27.423786,https://venues4hire.org/venue/details/40739/aylesford-pavillion,maidstone,False,False,False,False,True,False
Folkestone Park Bowls Club,Folkestone,Party Venue,,Medium (1-150),No parking,Kitchen: Yes - Professional (manned),No on-site accommodation,"On-street parking, Disabled access, Kitchen: Yes - Professional (manned), Tables: 6 round tables,, 8 rectangle tables, Bar: Yes - Manned, WiFi",Nicky,,01303 254032,,,,,,"Sports Club - Other Medium (1-150) Folkestone Parks is a warm, friendly and inviting venue. We have a fully stocked bar. Ample seating for parties, weddings or events. We offer catering for your event or if you prefer self catering.","Folkestone park bowls club, Radnor Park Avenue, Folkestone, England, CT19 5HY",CT19 5HY,venues4hire.org,2026-09-03T10:05:29.219933,https://venues4hire.org/venue/details/37626/folkestone-park-bowls-club,folkestone,False,False,False,True,False,False
King's Rochester Sports Centre,Rochester,Party Venue,http://www.kingssportscentre.co.uk/,Medium (1-150),Onsite parking,No on-site catering,No on-site accommodation,"Onsite parking: 58 spaces, Disabled access, Disabled toilets, Lift, Tables: 7 round tables,, 22 rectangle tables, Seating: 97 chairs,, 4 benches, Cutlery, Crockery, Bar: Yes - Manned, WiFi, Projector, Projector screen",Bookings Administrator,enquiries@kingssportscentre.co.uk,01634 818422,https://www.facebook.com/kingsrochestersportscentre,http://instagram.com/krsportscentre12,,,,"Sports Club - Other Medium (1-150) Situated in Medway’s Historic Rochester, the Kings Rochester Sports Centre was established in 1991 by the Medway Council.  The facility was purchased and refurbished by the Kings School Rochester in 2014.  Though understated, the venue provides a great canvas for any number of events, functions and meetings.  With our professional staff on hand to help you organise your event and bring your ideas together for all occasions. If you’re looking to book a venue for that special occasion or you need a room for an all-important meeting, our bar and conference room is the way to go.  The simple setting allows you the freedom to decorate the space in your own unique way, with a built-in bar and great food options available. On site we also host an attractive well sized multi-function sports hall, several outdoor tennis courts and an outdoor hard standing Multi ","601 Maidstone Road, Rochester, Kent, ME1 3QJ",ME1 3QJ,venues4hire.org,2026-09-03T10:05:31.936267,https://venues4hire.org/venue/details/5204/kings-rochester-sports-centre,maidstone,False,False,False,False,True,False
Three Hills Sports Park,Folkestone,Party Venue,https://www.threehillssportspark.co.uk/,Medium (1-150),Onsite parking,Kitchen: Yes - Full - Facilities to prepare meal,No on-site accommodation,"Onsite parking: 50 spaces, Nearby parking: Within 20 metres, Disabled access, Disabled toilets, Lift, Kitchen: Yes - Full - Facilities to prepare meal, Tables: 12 round tables,, 20 rectangle tables, Seating: 100 chairs, Cutlery, Crockery, Bar: Yes - Fully stocked, WiFi, Projector, Projector screen",Booking Manager,enquiries@3hsp.co.uk,01303 846020,https://www.facebook.com/ThreeHillsSportsPark,https://www.instagram.com/threehillssportspark/,,,,"Are you looking for a contemporary venue with excellent facilities to host your next big celebration?  Look no further than Three Hills Sports Park. With a variety of indoor and outdoor spaces, our state-of-the-art facility can make your perfect event a reality.","Cheriton Road, Folkestone, Kent, CT19 5JU",CT19 5JU,venues4hire.org,2026-09-03T10:05:32.861214,https://venues4hire.org/venue/details/31609/three-hills-sports-park,folkestone,False,False,False,False,True,False
Dartford Football Club - Sutton at Hone,Sutton at Hone,Party Venue,https://www.dartfordfc.com/,Medium (1-150),No parking,No on-site catering,No on-site accommodation,,Booking Manager,info@dartfordfc.com,01322 299994,https://www.facebook.com/DartfordFootballClub/,https://www.instagram.com/dartsfc/,https://twitter.com/dartfordfc,https://www.linkedin.com/company/bvl-scaffolding-co.-limited/,https://www.tiktok.com/@dartfordfootballclub,"Sports Club - Other Medium (1-150) Spend your birthday with us at Princes Park and be part of the DFC family for the afternoon! With two options to choose from, our fantastic birthdays parties, brand new to the club, will have you jumping for joy and returning next year! Once every three months the club hold a pre-match meal; this is an excellent opportunity for us to create great networking links, meet new people and share with local businesses a little piece of Dartford Football Club. It's a great chance for businesses to talk and these events are open to any local businesses or individuals. Tables are sold at £250 plus vat for 10 persons or alternatively £30 plus vat per person. This price includes your entrance into the game, reserved parking space, a hot meal and match day programme, reserved seat with excellent view and tea or coffee at half time.","10 Pembroke Place, Sutton at Hone, Kent, DA4 9HR",DA4 9HR,venues4hire.org,2026-09-03T10:05:35.482713,https://venues4hire.org/venue/details/24360/dartford-football-club,dartford,False,False,False,False,False,False
Dartford Harriers Athletic Club,Dartford,Party Venue,http://www.dartfordharriersac.co.uk/,Medium (1-150),No parking,No on-site catering,No on-site accommodation,,Bookings Administrator,,01322 286003,,,,,,Sports Club - Other Medium (1-150) A clubhouse that can be hired for private functions.,"Cranford Road, Dartford, Kent, DA1 1JP",DA1 1JP,venues4hire.org,2026-09-03T10:05:36.382930,https://venues4hire.org/venue/details/24361/dartford-harriers-athletic-club,dartford,False,False,False,False,False,False
