Venue Name,URL,Score,Severity,Unclaimed Listing,Description Length,Photo Count,Amenity Count,Has Capacity,Has Parking,Has Catering,Has Accommodation,Has Accessibility,Has Address,Has Email,Email Address,Email Source,Has Phone,Has Website,Room Count,Issue Count,Critical Issues,Warnings,Suggestions
Port of Dover Cruise Terminals,https://www.kentvenues.co.uk/venues/port-of-dover-cruise-terminals,35,Critical,No,500,1,0,No,Yes,No,No,No,Yes,Yes,estates@doverport.co.uk,form,No,Yes,1,8,2,3,3
Poult Wood Golf Centre,https://www.kentvenues.co.uk/venues/poult-wood-golf-centre,58,Critical,No,348,2,4,No,Yes,Yes,No,No,Yes,Yes,info@tmactive.co.uk,form,No,Yes,1,6,1,2,3
Premier Inn Gravesend Central,https://www.kentvenues.co.uk/venues/premier-inn-gravesend-central,9,Critical,No,98,3,0,No,No,No,No,No,Yes,No,,,No,Yes,2,10,3,4,3
Premier Inn Maidstone - A26 Wateringbury,https://www.kentvenues.co.uk/venues/premier-inn-maidstone-a26-wateringbury,36,Critical,No,162,2,2,No,Yes,No,Yes,No,No,Yes,maidstonewateringbury.pi@premierinn.com,form,No,Yes,2,9,1,6,2
Preston Court,https://www.kentvenues.co.uk/venues/preston-court,32,Critical,No,193,5,0,No,No,No,No,No,Yes,Yes,susie@prestoncourt.co.uk,form,No,Yes,1,9,2,4,3
Priestfield Stadium,https://www.kentvenues.co.uk/venues/priestfield-stadium,59,Critical,No,2214,1,0,Yes,No,Yes,Yes,Yes,Yes,Yes,sales@priestfield.com,form,No,No,1,6,1,2,3
Prince's Golf Club,https://www.kentvenues.co.uk/venues/princes-golf-club,67,Critical,No,494,3,4,No,Yes,Yes,Yes,No,Yes,Yes,office@princesgolfclub.co.uk,form,No,Yes,3,5,1,1,3
Protect Kent,https://www.kentvenues.co.uk/venues/protect-kent,75,Critical,No,1603,0,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,info@cprekent.org.uk,form,No,Yes,1,3,1,0,2
Quarterhouse,https://www.kentvenues.co.uk/venues/quarterhouse-2,44,Critical,No,1607,0,0,Yes,No,Yes,Yes,No,Yes,Yes,info@quarterhouse.co.uk,form,No,Yes,3,6,2,2,2
Qube Dover,https://www.kentvenues.co.uk/venues/qube-dover,40,Critical,No,707,3,0,No,No,Yes,No,No,Yes,Yes,info@qubedover.com,form,No,Yes,1,8,2,2,4
Queens Head Kingsnorth,https://www.kentvenues.co.uk/venues/queens-head-kingsnorth,63,Critical,No,957,4,4,No,No,Yes,No,Yes,Yes,Yes,queensheadkingsnorth@gmail.com,form,No,Yes,2,6,1,1,4
Quex House,https://www.kentvenues.co.uk/venues/quex-house,32,Critical,No,474,3,0,No,No,No,No,No,Yes,Yes,info@quexweddingsandevents.co.uk,form,No,Yes,0,9,2,3,4
"Quex Museum, House & Gardens",https://www.kentvenues.co.uk/venues/quex-museum-house-gardens,53,Critical,No,343,2,1,No,Yes,Yes,No,No,Yes,Yes,info@quexpark.co.uk,form,No,Yes,1,7,1,3,3
Radnor Arms Folkestone,https://www.kentvenues.co.uk/venues/radnor-arms-folkestone,45,Critical,No,440,8,0,No,No,Yes,No,No,Yes,Yes,info@radnorarmsfolkestone.co.uk,form,No,Yes,1,7,2,2,3
Reach Court Farm,https://www.kentvenues.co.uk/venues/reach-court-farm,37,Critical,No,210,5,0,No,No,No,No,No,Yes,Yes,info@reachcourtfarmweddings.co.uk,form,No,Yes,0,8,2,3,3
Reads Restaurant,https://www.kentvenues.co.uk/venues/reads-restaurant,64,Warning,No,783,2,2,Yes,No,Yes,Yes,No,Yes,Yes,enquiries@reads.com,form,No,Yes,0,6,0,4,2
Red Lion Hotel,https://www.kentvenues.co.uk/venues/red-lion-hotel,64,Critical,No,1264,5,4,No,No,Yes,Yes,No,Yes,Yes,theredlionhythe@outlook.com,form,No,Yes,2,5,1,2,2
Redlibbets Golf & Country Club,https://www.kentvenues.co.uk/venues/redlibbets-golf-country-club,40,Critical,No,448,4,0,Yes,No,No,Yes,No,No,Yes,albert@redlibbets.com,form,No,Yes,0,9,1,4,4
Regus Dartford,https://www.kentvenues.co.uk/venues/regus-dartford,14,Critical,No,253,2,0,No,No,No,No,No,Yes,No,,,No,Yes,3,9,3,4,2
Regus Express Clacket Lane,https://www.kentvenues.co.uk/venues/regus-express-clacket-lane,27,Critical,No,460,0,2,No,No,No,No,No,Yes,Yes,sales@meetingpackage.com,form,No,Yes,1,9,2,4,3
Rianos,https://www.kentvenues.co.uk/venues/rianos,82,Critical,No,3424,16,17,Yes,Yes,Yes,Yes,Yes,Yes,No,,,No,No,3,2,1,0,1
Ripley Arts Centre,https://www.kentvenues.co.uk/venues/ripley-arts-centre,27,Critical,No,671,1,0,No,No,No,No,No,Yes,Yes,enquiries@bromleyarts.com,form,No,Yes,3,9,2,4,3
The River Centre,https://www.kentvenues.co.uk/venues/river-centre,28,Critical,No,1620,0,0,Yes,No,No,Yes,Yes,Yes,No,,,No,No,0,7,3,2,2
Riverhill Himalayan Gardens,https://www.kentvenues.co.uk/venues/riverhill-himalayan-gardens,55,Critical,No,937,5,1,No,Yes,No,No,No,Yes,Yes,info@riverhillgardens.co.uk,form,No,Yes,1,7,1,3,3
Riverview Manor,https://www.kentvenues.co.uk/venues/riverview-manor,64,Critical,No,1424,5,0,Yes,Yes,No,Yes,No,Yes,Yes,info@riverviewmanor.co.uk,form,No,Yes,1,5,1,2,2
Rochester Cathedral,https://www.kentvenues.co.uk/venues/rochester-cathedral,32,Critical,No,287,3,0,No,No,No,No,No,Yes,Yes,info@rochestercathedral.org,form,No,Yes,1,9,2,3,4
Rocksalt Folkestone,https://www.kentvenues.co.uk/venues/rocksalt-folkestone,35,Critical,Yes,113,8,2,No,No,Yes,No,No,Yes,Yes,info@rocksaltfolkestone.co.uk,form,No,Yes,3,9,2,4,3
Rodmersham Cricket Club,https://www.kentvenues.co.uk/venues/rodmersham-cricket-club,12,Critical,No,161,0,0,No,No,No,No,No,Yes,Yes,rodmershamcricket@gmail.com,form,No,Yes,1,10,3,4,3
Romney Bay House Hotel,https://www.kentvenues.co.uk/venues/romney-bay-house-hotel,62,Critical,No,848,2,4,No,Yes,Yes,Yes,No,Yes,Yes,romneybayhouse@aol.co.uk,form,No,Yes,1,5,1,2,2
The Romney at Mote House,https://www.kentvenues.co.uk/venues/romney-mote-house,57,Critical,No,1477,4,0,Yes,No,Yes,No,No,Yes,Yes,moteclub@audleyvillages.co.uk,form,Yes,Yes,1,6,1,2,3
Rosemary Shrager's Cookery School,https://www.kentvenues.co.uk/venues/rosemary-shragers-cookery-school,35,Critical,No,2521,1,0,No,No,Yes,No,No,Yes,Yes,school@rosemaryshrager.com,form,No,Yes,0,8,2,3,3
Rowhill Grange & Utopia Spa,https://www.kentvenues.co.uk/venues/rowhill-grange-utopia-spa,49,Critical,No,771,7,0,No,No,Yes,Yes,No,Yes,Yes,vhannant@alexanderhotels.com,form,No,Yes,3,6,2,2,2
Royal Albion Hotel,https://www.kentvenues.co.uk/venues/royal-albion-hotel,44,Critical,No,594,3,0,No,No,Yes,Yes,No,Yes,Yes,royalalbion@shepherdneame.co.uk,form,No,Yes,3,7,2,2,3
Royal Engineers Museum,https://www.kentvenues.co.uk/venues/royal-engineers-museum,40,Critical,No,444,1,2,No,Yes,Yes,No,No,Yes,No,,,No,Yes,0,7,2,3,2
Royal Hotel,https://www.kentvenues.co.uk/venues/royal-hotel,67,Critical,No,643,3,3,No,Yes,Yes,Yes,No,Yes,Yes,royalhotel@shepherdneame.co.uk,form,No,Yes,3,5,1,1,3
Royal Wells Hotel,https://www.kentvenues.co.uk/venues/royal-wells-hotel,59,Critical,No,667,5,2,No,No,Yes,Yes,No,Yes,Yes,royalwells@shepherd-neame.co.uk,form,No,Yes,3,6,1,3,2
Ruffynes Barn,https://www.kentvenues.co.uk/venues/ruffynes-barn,32,Critical,No,861,4,0,No,No,No,No,No,Yes,Yes,jameslloyd6925@gmail.com,form,No,Yes,1,9,2,3,4
Russell Hotel,https://www.kentvenues.co.uk/venues/russell-hotel,44,Critical,No,457,3,0,No,Yes,No,Yes,No,Yes,Yes,sales@russell-hotel.com,form,No,Yes,1,7,2,2,3
Saint Ronans,https://www.kentvenues.co.uk/venues/saint-ronans,7,Critical,No,0,2,0,No,No,No,No,No,Yes,Yes,info@saintronans.co.uk,form,No,Yes,0,10,3,4,3
Salomons Estate,https://www.kentvenues.co.uk/venues/salomons-estate-2,82,Warning,No,3604,10,2,Yes,Yes,Yes,Yes,No,Yes,Yes,leisuresales@markerstudy.com,form,No,Yes,3,4,0,2,2
Salomons Pub & Dining Rooms,https://www.kentvenues.co.uk/venues/salomons-pub-dining-rooms,55,Critical,No,1986,1,2,No,Yes,Yes,No,No,Yes,Yes,leisuremarketing@markerstudy.com,form,Yes,Yes,2,6,1,3,2
Sands Hotel Margate,https://www.kentvenues.co.uk/venues/sands-hotel-margate,59,Critical,No,329,4,3,No,No,Yes,Yes,No,Yes,Yes,reservations@sandshotelmargate.co.uk,form,No,Yes,1,6,1,2,3
Sandwich Guildhall,https://www.kentvenues.co.uk/venues/sandwich-guildhall,4,Critical,No,0,2,0,No,No,No,No,No,Yes,Yes,enquiries@sandwichtowncouncil.gov.uk,form,No,Yes,0,11,3,4,4
SELT Leadership Centre,https://www.kentvenues.co.uk/venues/selt-leadership-centre,14,Critical,No,706,0,0,No,No,No,No,No,Yes,Yes,info@selt.org.uk,form,No,Yes,0,10,3,3,4
SEVENTEEN Restaurant,https://www.kentvenues.co.uk/venues/seventeen-restaurant,16,Critical,No,1810,0,0,No,No,Yes,Yes,No,Yes,No,,,Yes,No,1,7,4,2,1
Shepherd Neame Brewery,https://www.kentvenues.co.uk/venues/shepherd-neame-brewery,32,Critical,No,281,3,0,No,No,No,No,No,Yes,Yes,visitor.centre@shepherdneame.co.uk,form,No,Yes,0,9,2,3,4
Shires Oast @ The Hop Farm,https://www.kentvenues.co.uk/venues/shires-oast-the-hop-farm,71,Critical,No,1792,21,6,No,No,Yes,No,Yes,Yes,Yes,info@shiresoast.co.uk,form,No,Yes,0,4,1,1,2
Shorne Village Hall,https://www.kentvenues.co.uk/venues/shorne-village-hall,63,Critical,No,2089,4,0,Yes,Yes,Yes,No,No,Yes,Yes,info@shornevillagehall.org,form,No,Yes,1,6,1,1,4
Showcase Bluewater,https://www.kentvenues.co.uk/venues/showcase-bluewater,68,Warning,No,654,2,2,Yes,Yes,Yes,No,No,Yes,Yes,ukcs@national-amusements.com,form,No,Yes,1,6,0,3,3
Signature Flight Support Biggin Hill,https://www.kentvenues.co.uk/venues/signature-flight-support-biggin-hill,9,Critical,No,65,1,0,No,No,No,No,No,No,Yes,marketing@signatureflight.com,form,No,Yes,1,11,2,6,3
Singleton Barn,https://www.kentvenues.co.uk/venues/singleton-barn-2,71,Critical,No,1082,4,3,No,Yes,Yes,No,Yes,Yes,Yes,singletonbarn@shepherd-neame.co.uk,form,No,Yes,1,5,1,0,4
Singleton Environment Centre,https://www.kentvenues.co.uk/venues/singleton-environment-centre,66,Critical,No,1434,2,3,No,Yes,Yes,No,Yes,Yes,Yes,centremanager@singletonenvironmentcentre.org.uk,form,No,Yes,3,5,1,1,3
Smiths Court Hotel,https://www.kentvenues.co.uk/venues/smiths-court-hotel,57,Critical,No,388,2,2,No,Yes,Yes,Yes,No,Yes,Yes,info@smithscourt.co.uk,form,No,Yes,3,6,1,3,2
Solton Manor,https://www.kentvenues.co.uk/venues/solton-manor,69,Warning,No,920,4,2,Yes,No,Yes,Yes,No,Yes,Yes,info@soltonmanor.com,form,No,Yes,1,6,0,3,3
Southcliff Hotel,https://www.kentvenues.co.uk/venues/southcliff-hotel,69,Warning,No,1063,3,1,Yes,No,Yes,Yes,No,Yes,Yes,sales@thesouthcliff.co.uk,form,No,Yes,1,6,0,3,3
Southern Valley Golf Club,https://www.kentvenues.co.uk/venues/southern-valley-golf-club,68,Critical,No,445,6,3,No,Yes,Yes,No,No,Yes,Yes,weddings@southernvalley.co.uk,form,No,Yes,1,5,1,1,3
Sprivers Mansion,https://www.kentvenues.co.uk/venues/sprivers-mansion,63,Critical,No,695,5,2,No,Yes,Yes,No,No,Yes,Yes,enquiries@spriversmansion.co.uk,form,No,Yes,3,6,1,2,3
Squerryes Court,https://www.kentvenues.co.uk/venues/squerryes-court,50,Critical,No,514,3,2,No,No,Yes,No,No,Yes,Yes,celebrations@squerryes.co.uk,form,No,Yes,3,8,1,3,4
St Augustines,https://www.kentvenues.co.uk/venues/st-augustines,40,Critical,No,332,4,0,No,No,Yes,No,No,Yes,Yes,info@staugustineskent.com,form,No,Yes,0,8,2,2,4
St Augustine's Priory,https://www.kentvenues.co.uk/venues/st-augustines-priory,59,Critical,No,5427,2,0,Yes,No,Yes,Yes,Yes,Yes,Yes,office@sapriory.com,form,No,No,0,6,1,2,3
St Barnabas Church Hall,https://www.kentvenues.co.uk/venues/st-barnabas-church-hall,69,Critical,No,563,8,3,No,Yes,No,Yes,Yes,Yes,Yes,stbarnabashallhire@gmail.com,form,No,Yes,0,5,1,1,3
St Clere Estate,https://www.kentvenues.co.uk/venues/st-clere-estate,32,Critical,No,2222,4,0,No,No,No,No,No,Yes,Yes,info@stclere.co.uk,form,No,Yes,3,9,2,3,4
St Edmund’s School,https://www.kentvenues.co.uk/venues/st-edmunds-school,58,Critical,No,374,3,1,No,Yes,Yes,No,No,Yes,Yes,venuehire@stedmunds.org.uk,form,No,Yes,3,7,1,2,4
St George Hotel,https://www.kentvenues.co.uk/venues/st-george-hotel,80,Critical,No,694,11,16,No,Yes,Yes,Yes,Yes,Yes,Yes,reception@george-hotel.co.uk,form,No,Yes,2,3,1,0,2
St George's Business Park,https://www.kentvenues.co.uk/venues/st-georges-business-park,53,Critical,No,627,2,2,No,Yes,Yes,No,No,Yes,Yes,marketing@capitalspace.co.uk,form,No,Yes,2,7,1,3,3
St Julians Club,https://www.kentvenues.co.uk/venues/st-julians-club,45,Critical,No,318,5,0,No,No,Yes,No,No,Yes,Yes,info@stjulians.co.uk,form,No,Yes,1,7,2,2,3
St Martin's Priory,https://www.kentvenues.co.uk/venues/st-martins-priory,45,Critical,No,626,5,0,No,No,Yes,No,No,Yes,Yes,weddings@canterbury.ac.uk,form,No,Yes,0,7,2,2,3
St Peters Hall,https://www.kentvenues.co.uk/venues/st-peters-hall,0,Critical,No,15,0,0,No,No,No,No,No,Yes,No,,,No,No,0,11,5,3,3
Stone Lodge B&B,https://www.kentvenues.co.uk/venues/stone-lodge-b-b,31,Critical,No,463,3,0,No,No,Yes,Yes,No,Yes,No,,,No,Yes,0,7,3,2,2
Stonelees Golf Centre,https://www.kentvenues.co.uk/venues/stonelees-golf-centre,87,Warning,No,2173,6,6,Yes,Yes,Yes,Yes,No,Yes,Yes,stonelees@americangolf.co.uk,form,No,Yes,1,3,0,1,2
Stour Centre,https://www.kentvenues.co.uk/venues/stour-centre,27,Critical,No,72,1,1,No,No,No,No,No,Yes,Yes,thestour@freedom-leisure.co.uk,form,No,Yes,2,10,1,6,3
Sun Pier House,https://www.kentvenues.co.uk/venues/sun-pier-house,36,Critical,No,464,4,0,No,No,No,Yes,No,Yes,Yes,info@sunpierhouse.co.uk,form,No,Yes,1,8,2,3,3
Sundridge Park Manor,https://www.kentvenues.co.uk/venues/sundridge-park-manor,32,Critical,No,243,3,0,No,No,No,No,No,Yes,Yes,sales@cityandcountry.co.uk,form,No,Yes,1,9,2,3,4
Swarling Manor,https://www.kentvenues.co.uk/venues/swarling-manor,32,Critical,No,828,4,0,No,No,No,No,No,Yes,Yes,hello@swarlingmanor.com,form,No,Yes,1,9,2,3,4
Tacos Locos,https://www.kentvenues.co.uk/venues/tacos-locos,40,Critical,No,1378,4,0,No,No,Yes,No,No,Yes,Yes,tacoslocos_08@hotmail.com,form,No,Yes,1,8,2,2,4
Taproom Ashford,https://www.kentvenues.co.uk/venues/taproom-ashford,14,Critical,No,341,0,0,No,No,No,No,No,Yes,Yes,taproomtn23@hopstuffbrewery.com,form,No,No,0,10,3,3,4
Tenterden Town Hall,https://www.kentvenues.co.uk/venues/tenterden-town-hall,0,Critical,No,0,0,0,No,No,No,No,No,No,Yes,sue@mytenterden.co.uk,form,No,Yes,0,12,4,4,4
Tenterden Trout Waters Coombe Farm,https://www.kentvenues.co.uk/venues/tenterden-trout-waters-coombe-farm,45,Critical,No,350,2,1,No,Yes,No,No,No,Yes,Yes,gaynor@coombe-farm.com,form,No,Yes,1,8,1,4,3
Thanet Training Centre,https://www.kentvenues.co.uk/venues/thanet-training-centre,4,Critical,No,65,0,0,No,No,No,No,No,Yes,Yes,info@thanettrainingcentre.co.uk,form,No,No,1,11,3,4,4
The Abbey Hotel,https://www.kentvenues.co.uk/venues/the-abbey-hotel,28,Critical,No,283,2,0,No,No,No,Yes,No,Yes,Yes,reservations@abbey-hotel.net,form,No,Yes,0,9,2,4,3
Annex @ The Grange,https://www.kentvenues.co.uk/venues/the-annex-the-grange,59,Critical,No,2739,10,3,No,Yes,Yes,Yes,No,Yes,No,,,No,Yes,0,4,2,1,1
The Appleyard,https://www.kentvenues.co.uk/venues/the-appleyard,35,Critical,No,410,0,1,No,No,Yes,No,No,Yes,Yes,admin@theappleyard.net,form,No,Yes,0,8,2,3,3
The Artist's beach House,https://www.kentvenues.co.uk/venues/the-artists-beach-house,69,Warning,No,1366,3,2,Yes,No,Yes,Yes,No,Yes,Yes,emily@thebeaconhouse.co.uk,form,No,Yes,0,6,0,3,3
The Barn Yard,https://www.kentvenues.co.uk/venues/the-barn-yard,52,Critical,No,478,6,0,Yes,No,Yes,No,No,No,Yes,office@the-barnyard.com,form,No,Yes,3,7,1,3,3
The Beaverwood,https://www.kentvenues.co.uk/venues/the-beaverwood,2,Critical,Yes,81,2,0,No,No,No,No,No,Yes,Yes,hello@thebeaverwood.com,form,No,Yes,1,11,3,5,3
The Bell Hotel,https://www.kentvenues.co.uk/venues/the-bell-hotel,39,Critical,Yes,70,7,3,No,No,Yes,Yes,No,Yes,Yes,bellhotel@shepherd-neame.co.uk,form,No,Yes,3,7,2,3,2
The Bistro at Lympne Castle,https://www.kentvenues.co.uk/venues/the-bistro-at-lympne-castle,61,Critical,No,1941,9,0,No,Yes,Yes,No,Yes,Yes,Yes,info@thebistro-kent.co.uk,form,No,Yes,1,5,2,0,3
The Black Horse Inn,https://www.kentvenues.co.uk/venues/the-black-horse-inn,59,Critical,No,806,7,2,No,No,Yes,Yes,No,Yes,Yes,info@wellieboot.net,form,No,Yes,3,6,1,3,2
The Blazing Donkey Country Hotel,https://www.kentvenues.co.uk/venues/the-blazing-donkey-country-hotel,34,Critical,No,501,6,0,No,No,No,No,No,Yes,Yes,info@blazingdonkey.co.uk,form,No,Yes,0,9,2,3,4
The Bridge Nucleus,https://www.kentvenues.co.uk/venues/the-bridge-nucleus,32,Critical,No,200,4,0,No,No,No,No,No,Yes,Yes,nucleus@oxin.co.uk,form,No,Yes,3,9,2,3,4
The Brook Theatre,https://www.kentvenues.co.uk/venues/the-brook-theatre,7,Critical,Yes,78,3,0,No,No,No,No,No,Yes,Yes,boxoffice@medway.gov.uk,form,No,Yes,2,11,3,4,4
The Bull Hotel,https://www.kentvenues.co.uk/venues/the-bull-hotel,23,Critical,No,0,3,2,No,No,No,Yes,No,Yes,Yes,info@thebullhotel.com,form,No,Yes,0,10,2,4,4
The Bull's Head Hotel,https://www.kentvenues.co.uk/venues/the-bulls-head-hotel,46,Critical,No,150,4,2,No,No,Yes,Yes,No,Yes,Yes,bullshead@youngs.co.uk,form,No,Yes,0,9,1,4,4
The Burlington Hotel,https://www.kentvenues.co.uk/venues/the-burlington-hotel,82,Warning,No,1896,6,2,Yes,Yes,Yes,Yes,No,Yes,Yes,info@theburlingtonhotel.com,form,No,Yes,3,4,0,2,2
The Camden Centre,https://www.kentvenues.co.uk/venues/the-camden-centre,2,Critical,Yes,84,2,0,No,No,No,No,No,Yes,Yes,camden.centre@tunbridgewells.gov.uk,form,No,Yes,3,11,3,5,3
The Causeway Hall,https://www.kentvenues.co.uk/venues/the-causeway-hall,7,Critical,Yes,89,3,0,No,No,No,No,No,Yes,Yes,enquiries@causewayhall.co.uk,form,No,Yes,3,11,3,4,4
The Clarendon Royal Hotel,https://www.kentvenues.co.uk/venues/the-clarendon-royal-hotel,64,Critical,No,476,4,3,No,Yes,Yes,Yes,No,Yes,Yes,info@clarendonroyalhotel.co.uk,form,No,Yes,0,6,1,1,4
The Climbing Experience,https://www.kentvenues.co.uk/venues/the-climbing-experience,83,Warning,No,875,5,7,Yes,Yes,Yes,No,No,Yes,Yes,georgia@theclimbingexperience.co.uk,form,No,Yes,0,4,0,1,3
The Conningbrook Hotel,https://www.kentvenues.co.uk/venues/the-conningbrook-hotel,59,Critical,No,693,7,2,No,No,Yes,Yes,No,Yes,Yes,conningbrook@shepherdneame.co.uk,form,No,Yes,3,6,1,3,2
The Crescent Turner Hotel,https://www.kentvenues.co.uk/venues/the-crescent-turner-hotel,79,Warning,No,384,4,6,Yes,No,Yes,Yes,Yes,Yes,Yes,info@crescentturner.co.uk,form,No,Yes,0,5,0,1,4
The Crown Inn Chislehurst,https://www.kentvenues.co.uk/venues/the-crown-inn,80,Critical,No,331,7,4,No,Yes,Yes,Yes,Yes,Yes,Yes,crownchis@shepherd-neame.co.uk,form,No,Yes,3,3,1,0,2
The Cue Club,https://www.kentvenues.co.uk/venues/the-cue-club,0,Critical,No,0,0,0,No,No,No,No,No,Yes,No,,,No,No,0,10,5,3,2
The Darenth,https://www.kentvenues.co.uk/venues/the-darenth,69,Warning,No,782,4,2,Yes,No,Yes,Yes,No,Yes,Yes,info@thedarenth.com,form,No,Yes,3,6,0,3,3
The Dering Arms,https://www.kentvenues.co.uk/venues/the-dering-arms,67,Critical,No,2287,3,0,Yes,No,Yes,Yes,Yes,Yes,Yes,info@deringarms.com,form,No,Yes,2,5,1,1,3
The Drapers Arms,https://www.kentvenues.co.uk/venues/the-drapers-arms,50,Critical,No,585,1,0,Yes,No,Yes,No,No,Yes,Yes,hello@drapersarmscanterbury.co.uk,form,No,Yes,0,7,1,3,3
The Dreys,https://www.kentvenues.co.uk/venues/the-dreys,40,Critical,No,944,4,0,No,No,Yes,No,No,Yes,Yes,info@thedreys.co.uk,form,No,Yes,0,8,2,2,4
The Eight Bells Canterbury,https://www.kentvenues.co.uk/venues/the-eight-bells-canterbury,14,Critical,No,550,0,0,No,No,No,No,No,Yes,Yes,info@theeightbells.net,form,No,No,1,10,3,3,4
The Engine House Bexley,https://www.kentvenues.co.uk/venues/the-engine-house-bexley,45,Critical,No,727,2,2,No,Yes,No,No,No,Yes,Yes,info@enginehousebexley.co.uk,form,No,Yes,1,8,1,4,3
The Fox Inn,https://www.kentvenues.co.uk/venues/the-fox-inn,35,Critical,No,192,3,0,No,No,Yes,No,No,Yes,Yes,info@thefoxkeston.com,form,No,Yes,1,9,2,3,4
The Friars,https://www.kentvenues.co.uk/venues/the-friars,64,Critical,No,454,7,5,No,Yes,No,Yes,No,Yes,Yes,enquiry@thefriars.org.uk,form,No,Yes,3,5,1,2,2
The Gardens Yalding,https://www.kentvenues.co.uk/venues/the-gardens-yalding,74,Warning,No,1832,12,1,Yes,No,Yes,Yes,No,Yes,Yes,hello@thegardensyalding.co.uk,form,No,Yes,3,5,0,3,2
The George Vaults,https://www.kentvenues.co.uk/venues/the-george-vaults,60,Warning,No,444,2,2,Yes,No,Yes,No,No,Yes,Yes,enquiries@georgevaults.com,form,No,Yes,0,7,0,4,3
The Grand Burstin Hotel Folkestone,https://www.kentvenues.co.uk/venues/the-grand-burstin-hotel-folkestone,82,Critical,No,936,5,4,Yes,Yes,Yes,Yes,Yes,Yes,No,,,No,Yes,3,2,1,0,1
The Grasshooper Inn,https://www.kentvenues.co.uk/venues/the-grasshooper-inn,72,Critical,No,365,5,5,No,Yes,Yes,Yes,No,Yes,Yes,headoffice@gbpubs.com,form,No,Yes,3,4,1,1,2
The Great Hall Barn,https://www.kentvenues.co.uk/venues/the-great-hall-barn,51,Critical,No,1729,2,4,No,No,Yes,Yes,No,Yes,Yes,info@greatbarnweddings.com,form,No,Yes,0,7,1,3,3
The Harrow,https://www.kentvenues.co.uk/venues/the-harrow,76,Critical,No,1346,7,7,No,Yes,Yes,No,Yes,Yes,Yes,smokeandcured@gmail.com,form,No,Yes,1,4,1,0,3
The Hilltop Hotel,https://www.kentvenues.co.uk/venues/the-hilltop-hotel,23,Critical,No,0,2,3,No,No,No,Yes,No,Yes,Yes,contact@the-hilltop.co.uk,form,No,Yes,0,9,2,4,3
The Historic Dockyard Chatham,https://www.kentvenues.co.uk/venues/the-historic-dockyard-chatham,98,Suggestions,No,2553,17,19,Yes,Yes,Yes,Yes,Yes,Yes,Yes,cwilson@chdt.org.uk,form,No,Yes,3,1,0,0,1
Hop Farm,https://www.kentvenues.co.uk/venues/the-hop-farm,82,Critical,No,3753,13,11,Yes,Yes,Yes,Yes,Yes,Yes,No,,,No,No,3,2,1,0,1
The House Meadow,https://www.kentvenues.co.uk/venues/the-house-meadow,71,Critical,No,842,7,2,No,Yes,Yes,No,Yes,Yes,Yes,info@thehousemeadow.co.uk,form,No,Yes,3,5,1,1,3
The Howard Venue,https://www.kentvenues.co.uk/venues/the-howard-venue,45,Critical,No,444,2,2,No,No,Yes,No,No,Yes,Yes,office@thehowardvenue.co.uk,form,No,Yes,1,8,1,4,3
The Hub Canterbury,https://www.kentvenues.co.uk/venues/the-hub-canterbury,33,Critical,No,252,1,0,Yes,No,No,Yes,No,Yes,No,,,No,Yes,3,7,2,4,1
The Huddle Workspace,https://www.kentvenues.co.uk/venues/the-huddle-workspace,40,Critical,No,421,0,4,No,Yes,No,No,No,Yes,Yes,sales@theglasswipeboardcompany.com,form,No,Yes,1,7,2,2,3
The Ian Wright Organisation,https://www.kentvenues.co.uk/venues/the-ian-wright-organisation,55,Critical,No,565,5,2,No,Yes,No,No,No,Yes,Yes,events@thewrightevent.co.uk,form,No,Yes,1,7,1,3,3
The Imperial,https://www.kentvenues.co.uk/venues/the-imperial,37,Critical,No,554,6,0,No,No,No,No,No,Yes,Yes,info@imperialsouthborough.co.uk,form,No,Yes,1,8,2,3,3
The Julie Rose Stadium,https://www.kentvenues.co.uk/venues/the-julie-rose-stadium,64,Warning,No,209,2,1,Yes,Yes,No,Yes,No,Yes,Yes,julierose@freedom-leisure.co.uk,form,No,Yes,3,6,0,4,2
The King's Hall,https://www.kentvenues.co.uk/venues/the-kings-hall,26,Critical,No,841,0,0,No,No,Yes,Yes,No,Yes,Yes,thekingshall@canterbury.gov.uk,form,No,Yes,0,8,3,2,3
The Kings Head Wye,https://www.kentvenues.co.uk/venues/the-kings-head-wye,48,Critical,No,1830,3,0,No,No,Yes,No,Yes,Yes,Yes,info@kingsheadwye.com,form,No,Yes,1,7,2,1,4
The King's School Canterbury,https://www.kentvenues.co.uk/venues/the-kings-school-canterbury,22,Critical,No,83,3,0,No,No,No,No,No,Yes,Yes,info@kings-school.co.uk,form,No,Yes,0,10,2,4,4
The Lodge,https://www.kentvenues.co.uk/venues/the-lodge,0,Critical,Yes,96,0,0,No,No,No,No,No,Yes,Yes,info@thelodgelpgc.co.uk,form,No,Yes,1,11,4,4,3
The Manor at Bickley,https://www.kentvenues.co.uk/venues/the-manor-at-bickley,62,Critical,No,832,4,2,No,Yes,Yes,Yes,No,Yes,Yes,info@themanoratbickley.co.uk,form,No,Yes,3,6,1,2,3
The Manor Gardens - Birling Estate,https://www.kentvenues.co.uk/venues/the-manor-gardens-birling-estate,32,Critical,No,568,3,0,No,No,No,No,No,Yes,Yes,themanorgardens@birlingestate.co.uk,form,No,Yes,1,9,2,3,4
