Venue Name,URL,Score,Severity,Unclaimed Listing,Description Length,Photo Count,Amenity Count,Has Capacity,Has Parking,Has Catering,Has Accommodation,Has Accessibility,Has Email,Has Phone,Has Website,Has Facebook,Has Twitter/X,Has Instagram,Room Count,Issue Count,Critical Issues,Warnings,Suggestions
Rochester Cathedral,https://www.kentvenues.co.uk/venues/rochester-cathedral,32,Critical,No,287,3,0,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,1,9,2,3,4
Rocksalt Folkestone,https://www.kentvenues.co.uk/venues/rocksalt-folkestone,35,Critical,Yes,113,8,2,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,3,9,2,4,3
Rodmersham Cricket Club,https://www.kentvenues.co.uk/venues/rodmersham-cricket-club,8,Critical,No,161,0,0,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,1,11,3,5,3
Romney Bay House Hotel,https://www.kentvenues.co.uk/venues/romney-bay-house-hotel,58,Critical,No,848,2,4,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,1,6,1,3,2
The Romney at Mote House,https://www.kentvenues.co.uk/venues/romney-mote-house,53,Critical,No,1477,4,0,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,1,7,1,3,3
Rosemary Shrager's Cookery School,https://www.kentvenues.co.uk/venues/rosemary-shragers-cookery-school,29,Critical,No,2521,1,0,No,No,Yes,No,No,Yes,No,Yes,No,No,No,0,9,2,4,3
Rowhill Grange & Utopia Spa,https://www.kentvenues.co.uk/venues/rowhill-grange-utopia-spa,49,Critical,No,771,7,0,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,3,6,2,2,2
Royal Albion Hotel,https://www.kentvenues.co.uk/venues/royal-albion-hotel,44,Critical,No,594,3,0,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,3,7,2,2,3
Royal Engineers Museum,https://www.kentvenues.co.uk/venues/royal-engineers-museum,43,Critical,No,444,1,2,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,0,8,1,4,3
Royal Hotel,https://www.kentvenues.co.uk/venues/royal-hotel,67,Critical,No,643,3,3,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,3,5,1,1,3
Royal Wells Hotel,https://www.kentvenues.co.uk/venues/royal-wells-hotel,59,Critical,No,667,5,2,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,3,6,1,3,2
Ruffynes Barn,https://www.kentvenues.co.uk/venues/ruffynes-barn,32,Critical,No,861,4,0,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,1,9,2,3,4
Russell Hotel,https://www.kentvenues.co.uk/venues/russell-hotel,40,Critical,No,457,3,0,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,1,8,2,3,3
Saint Ronans,https://www.kentvenues.co.uk/venues/saint-ronans,1,Critical,No,0,2,0,No,No,No,No,No,Yes,No,Yes,No,No,No,0,11,3,5,3
Salomons Estate,https://www.kentvenues.co.uk/venues/salomons-estate-2,82,Warning,No,3604,10,2,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,3,4,0,2,2
Salomons Pub & Dining Rooms,https://www.kentvenues.co.uk/venues/salomons-pub-dining-rooms,55,Critical,No,1986,1,2,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,2,6,1,3,2
Sands Hotel Margate,https://www.kentvenues.co.uk/venues/sands-hotel-margate,59,Critical,No,329,4,3,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,1,6,1,2,3
Sandwich Guildhall,https://www.kentvenues.co.uk/venues/sandwich-guildhall,0,Critical,No,0,2,0,No,No,No,No,No,Yes,No,Yes,Yes,No,No,0,12,3,5,4
SELT Leadership Centre,https://www.kentvenues.co.uk/venues/selt-leadership-centre,10,Critical,No,706,0,0,No,No,No,No,No,Yes,No,Yes,Yes,No,No,0,11,3,4,4
SEVENTEEN Restaurant,https://www.kentvenues.co.uk/venues/seventeen-restaurant,16,Critical,No,1810,0,0,No,No,Yes,Yes,No,No,Yes,No,No,No,No,1,7,4,2,1
Shepherd Neame Brewery,https://www.kentvenues.co.uk/venues/shepherd-neame-brewery,32,Critical,No,281,3,0,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,0,9,2,3,4
Shires Oast @ The Hop Farm,https://www.kentvenues.co.uk/venues/shires-oast-the-hop-farm,65,Critical,No,1792,21,6,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,0,5,1,2,2
Shorne Village Hall,https://www.kentvenues.co.uk/venues/shorne-village-hall,59,Critical,No,2089,4,0,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,1,7,1,2,4
Showcase Bluewater,https://www.kentvenues.co.uk/venues/showcase-bluewater,64,Warning,No,654,2,2,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,1,7,0,4,3
Signature Flight Support Biggin Hill,https://www.kentvenues.co.uk/venues/signature-flight-support-biggin-hill,17,Critical,No,65,1,0,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,1,10,2,5,3
Singleton Barn,https://www.kentvenues.co.uk/venues/singleton-barn-2,71,Critical,No,1082,4,3,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,1,5,1,0,4
Singleton Environment Centre,https://www.kentvenues.co.uk/venues/singleton-environment-centre,66,Critical,No,1434,2,3,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,3,5,1,1,3
Smiths Court Hotel,https://www.kentvenues.co.uk/venues/smiths-court-hotel,57,Critical,No,388,2,2,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,3,6,1,3,2
Solton Manor,https://www.kentvenues.co.uk/venues/solton-manor,65,Warning,No,920,4,2,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,1,7,0,4,3
Southcliff Hotel,https://www.kentvenues.co.uk/venues/southcliff-hotel,69,Warning,No,1063,3,1,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,1,6,0,3,3
Southern Valley Golf Club,https://www.kentvenues.co.uk/venues/southern-valley-golf-club,64,Critical,No,445,6,3,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,1,6,1,2,3
Sprivers Mansion,https://www.kentvenues.co.uk/venues/sprivers-mansion,59,Critical,No,695,5,2,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,3,7,1,3,3
Squerryes Court,https://www.kentvenues.co.uk/venues/squerryes-court,46,Critical,No,514,3,2,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,3,9,1,4,4
St Augustines,https://www.kentvenues.co.uk/venues/st-augustines,40,Critical,No,332,4,0,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,0,8,2,2,4
St Augustine's Priory,https://www.kentvenues.co.uk/venues/st-augustines-priory,53,Critical,No,5427,2,0,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,0,7,1,3,3
St Barnabas Church Hall,https://www.kentvenues.co.uk/venues/st-barnabas-church-hall,69,Critical,No,563,8,3,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,0,5,1,1,3
St Clere Estate,https://www.kentvenues.co.uk/venues/st-clere-estate,28,Critical,No,2222,4,0,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,3,10,2,4,4
St Edmund’s School,https://www.kentvenues.co.uk/venues/st-edmunds-school,58,Critical,No,374,3,1,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,3,7,1,2,4
St George Hotel,https://www.kentvenues.co.uk/venues/st-george-hotel,76,Critical,No,694,11,16,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,2,4,1,1,2
St George's Business Park,https://www.kentvenues.co.uk/venues/st-georges-business-park,49,Critical,No,627,2,2,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,2,8,1,4,3
St Julians Club,https://www.kentvenues.co.uk/venues/st-julians-club,45,Critical,No,318,5,0,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,1,7,2,2,3
St Martin's Priory,https://www.kentvenues.co.uk/venues/st-martins-priory,41,Critical,No,626,5,0,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,0,8,2,3,3
St Peters Hall,https://www.kentvenues.co.uk/venues/st-peters-hall,0,Critical,No,15,0,0,No,No,No,No,No,No,No,No,No,No,No,0,11,5,3,3
Stone Lodge B&B,https://www.kentvenues.co.uk/venues/stone-lodge-b-b,28,Critical,No,463,3,0,No,No,Yes,Yes,No,No,No,Yes,No,No,No,0,9,2,4,3
Stonelees Golf Centre,https://www.kentvenues.co.uk/venues/stonelees-golf-centre,83,Warning,No,2173,6,6,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,1,4,0,2,2
Stour Centre,https://www.kentvenues.co.uk/venues/stour-centre,23,Critical,No,72,1,1,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,2,11,1,7,3
Sun Pier House,https://www.kentvenues.co.uk/venues/sun-pier-house,36,Critical,No,464,4,0,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,1,8,2,3,3
Sundridge Park Manor,https://www.kentvenues.co.uk/venues/sundridge-park-manor,28,Critical,No,243,3,0,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,1,10,2,4,4
Swarling Manor,https://www.kentvenues.co.uk/venues/swarling-manor,32,Critical,No,828,4,0,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,1,9,2,3,4
Tacos Locos,https://www.kentvenues.co.uk/venues/tacos-locos,36,Critical,No,1378,4,0,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,1,9,2,3,4
Taproom Ashford,https://www.kentvenues.co.uk/venues/taproom-ashford,10,Critical,No,341,0,0,No,No,No,No,No,Yes,No,No,Yes,No,No,0,11,3,4,4
Tenterden Town Hall,https://www.kentvenues.co.uk/venues/tenterden-town-hall,0,Critical,No,0,0,0,No,No,No,No,No,Yes,No,Yes,No,No,No,0,12,4,4,4
Tenterden Trout Waters Coombe Farm,https://www.kentvenues.co.uk/venues/tenterden-trout-waters-coombe-farm,41,Critical,No,350,2,1,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,1,9,1,5,3
Thanet Training Centre,https://www.kentvenues.co.uk/venues/thanet-training-centre,0,Critical,No,65,0,0,No,No,No,No,No,Yes,No,No,Yes,No,No,1,12,3,5,4
The Abbey Hotel,https://www.kentvenues.co.uk/venues/the-abbey-hotel,22,Critical,No,283,2,0,No,No,No,Yes,No,Yes,No,Yes,No,No,No,0,10,2,5,3
Annex @ The Grange,https://www.kentvenues.co.uk/venues/the-annex-the-grange,56,Critical,No,2739,10,3,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,0,6,1,3,2
The Appleyard,https://www.kentvenues.co.uk/venues/the-appleyard,29,Critical,No,410,0,1,No,No,Yes,No,No,Yes,No,Yes,No,No,No,0,9,2,4,3
The Artist's beach House,https://www.kentvenues.co.uk/venues/the-artists-beach-house,63,Warning,No,1366,3,2,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,0,7,0,4,3
The Barn Yard,https://www.kentvenues.co.uk/venues/the-barn-yard,60,Critical,No,478,6,0,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,3,6,1,2,3
The Beaverwood,https://www.kentvenues.co.uk/venues/the-beaverwood,2,Critical,Yes,81,2,0,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,1,11,3,5,3
The Bell Hotel,https://www.kentvenues.co.uk/venues/the-bell-hotel,39,Critical,Yes,70,7,3,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,3,7,2,3,2
The Bistro at Lympne Castle,https://www.kentvenues.co.uk/venues/the-bistro-at-lympne-castle,57,Critical,No,1941,9,0,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,1,6,2,1,3
The Black Horse Inn,https://www.kentvenues.co.uk/venues/the-black-horse-inn,55,Critical,No,806,7,2,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,3,7,1,4,2
The Blazing Donkey Country Hotel,https://www.kentvenues.co.uk/venues/the-blazing-donkey-country-hotel,30,Critical,No,501,6,0,No,No,No,No,No,Yes,No,Yes,Yes,No,No,0,10,2,4,4
The Bridge Nucleus,https://www.kentvenues.co.uk/venues/the-bridge-nucleus,32,Critical,No,200,4,0,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,3,9,2,3,4
The Brook Theatre,https://www.kentvenues.co.uk/venues/the-brook-theatre,3,Critical,Yes,78,3,0,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,2,12,3,5,4
The Bull Hotel,https://www.kentvenues.co.uk/venues/the-bull-hotel,17,Critical,No,0,3,2,No,No,No,Yes,No,Yes,No,Yes,No,No,No,0,11,2,5,4
The Bull's Head Hotel,https://www.kentvenues.co.uk/venues/the-bulls-head-hotel,46,Critical,No,150,4,2,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,0,9,1,4,4
The Burlington Hotel,https://www.kentvenues.co.uk/venues/the-burlington-hotel,82,Warning,No,1896,6,2,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,3,4,0,2,2
The Camden Centre,https://www.kentvenues.co.uk/venues/the-camden-centre,0,Critical,Yes,84,2,0,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,3,12,3,6,3
The Causeway Hall,https://www.kentvenues.co.uk/venues/the-causeway-hall,3,Critical,Yes,89,3,0,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,3,12,3,5,4
The Clarendon Royal Hotel,https://www.kentvenues.co.uk/venues/the-clarendon-royal-hotel,60,Critical,No,476,4,3,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,0,7,1,2,4
The Climbing Experience,https://www.kentvenues.co.uk/venues/the-climbing-experience,79,Warning,No,875,5,7,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,0,5,0,2,3
The Conningbrook Hotel,https://www.kentvenues.co.uk/venues/the-conningbrook-hotel,55,Critical,No,693,7,2,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,3,7,1,4,2
The Crescent Turner Hotel,https://www.kentvenues.co.uk/venues/the-crescent-turner-hotel,73,Warning,No,384,4,6,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,0,6,0,2,4
The Crown Inn Chislehurst,https://www.kentvenues.co.uk/venues/the-crown-inn,76,Critical,No,331,7,4,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,3,4,1,1,2
The Cue Club,https://www.kentvenues.co.uk/venues/the-cue-club,0,Critical,No,0,0,0,No,No,No,No,No,No,No,No,No,No,No,0,10,5,3,2
The Darenth,https://www.kentvenues.co.uk/venues/the-darenth,65,Warning,No,782,4,2,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,3,7,0,4,3
The Dering Arms,https://www.kentvenues.co.uk/venues/the-dering-arms,63,Critical,No,2287,3,0,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,2,6,1,2,3
The Drapers Arms,https://www.kentvenues.co.uk/venues/the-drapers-arms,50,Critical,No,585,1,0,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,0,7,1,3,3
The Dreys,https://www.kentvenues.co.uk/venues/the-dreys,40,Critical,No,944,4,0,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,0,8,2,2,4
The Eight Bells Canterbury,https://www.kentvenues.co.uk/venues/the-eight-bells-canterbury,8,Critical,No,550,0,0,No,No,No,No,No,Yes,No,No,No,No,No,1,11,3,4,4
The Engine House Bexley,https://www.kentvenues.co.uk/venues/the-engine-house-bexley,45,Critical,No,727,2,2,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,1,8,1,4,3
The Fox Inn,https://www.kentvenues.co.uk/venues/the-fox-inn,35,Critical,No,192,3,0,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,1,9,2,3,4
The Friars,https://www.kentvenues.co.uk/venues/the-friars,60,Critical,No,454,7,5,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,3,6,1,3,2
The Gardens Yalding,https://www.kentvenues.co.uk/venues/the-gardens-yalding,74,Warning,No,1832,12,1,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,3,5,0,3,2
The George Vaults,https://www.kentvenues.co.uk/venues/the-george-vaults,56,Warning,No,444,2,2,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,0,8,0,5,3
The Grand Burstin Hotel Folkestone,https://www.kentvenues.co.uk/venues/the-grand-burstin-hotel-folkestone,81,Warning,No,936,5,4,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,3,4,0,2,2
The Grasshooper Inn,https://www.kentvenues.co.uk/venues/the-grasshooper-inn,68,Critical,No,365,5,5,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,3,5,1,2,2
The Great Hall Barn,https://www.kentvenues.co.uk/venues/the-great-hall-barn,45,Critical,No,1729,2,4,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,0,8,1,4,3
The Harrow,https://www.kentvenues.co.uk/venues/the-harrow,72,Critical,No,1346,7,7,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,1,5,1,1,3
The Hilltop Hotel,https://www.kentvenues.co.uk/venues/the-hilltop-hotel,17,Critical,No,0,2,3,No,No,No,Yes,No,Yes,No,Yes,No,No,No,0,10,2,5,3
The Historic Dockyard Chatham,https://www.kentvenues.co.uk/venues/the-historic-dockyard-chatham,98,Suggestions,No,2553,17,19,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,3,1,0,0,1
Hop Farm,https://www.kentvenues.co.uk/venues/the-hop-farm,82,Warning,No,3753,13,11,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,3,4,0,1,3
The House Meadow,https://www.kentvenues.co.uk/venues/the-house-meadow,71,Critical,No,842,7,2,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,3,5,1,1,3
The Howard Venue,https://www.kentvenues.co.uk/venues/the-howard-venue,41,Critical,No,444,2,2,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,1,9,1,5,3
The Hub Canterbury,https://www.kentvenues.co.uk/venues/the-hub-canterbury,36,Critical,No,252,1,0,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,3,8,1,5,2
The Huddle Workspace,https://www.kentvenues.co.uk/venues/the-huddle-workspace,40,Critical,No,421,0,4,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,1,7,2,2,3
The Ian Wright Organisation,https://www.kentvenues.co.uk/venues/the-ian-wright-organisation,51,Critical,No,565,5,2,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,1,8,1,4,3
The Imperial,https://www.kentvenues.co.uk/venues/the-imperial,33,Critical,No,554,6,0,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,1,9,2,4,3
The Julie Rose Stadium,https://www.kentvenues.co.uk/venues/the-julie-rose-stadium,60,Warning,No,209,2,1,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,3,7,0,5,2
The King's Hall,https://www.kentvenues.co.uk/venues/the-kings-hall,22,Critical,No,841,0,0,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,0,9,3,3,3
The Kings Head Wye,https://www.kentvenues.co.uk/venues/the-kings-head-wye,48,Critical,No,1830,3,0,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,1,7,2,1,4
The King's School Canterbury,https://www.kentvenues.co.uk/venues/the-kings-school-canterbury,22,Critical,No,83,3,0,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,0,10,2,4,4
The Lodge,https://www.kentvenues.co.uk/venues/the-lodge,0,Critical,Yes,96,0,0,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,1,11,4,4,3
The Manor at Bickley,https://www.kentvenues.co.uk/venues/the-manor-at-bickley,62,Critical,No,832,4,2,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,3,6,1,2,3
The Manor Gardens - Birling Estate,https://www.kentvenues.co.uk/venues/the-manor-gardens-birling-estate,32,Critical,No,568,3,0,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,1,9,2,3,4
The Marquis Of Granby,https://www.kentvenues.co.uk/venues/the-marquis-at-alkham,59,Critical,No,987,7,2,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,3,6,1,3,2
The Marquis at Alkham,https://www.kentvenues.co.uk/venues/the-marquis-at-alkham-2,41,Critical,No,299,6,0,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,0,8,2,3,3
The Mary Rose Inn Hotel,https://www.kentvenues.co.uk/venues/the-mary-rose-inn-hotel,58,Critical,No,402,5,4,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,1,6,1,3,2
The Moat,https://www.kentvenues.co.uk/venues/the-moat,0,Critical,No,0,0,0,No,No,No,No,No,Yes,No,Yes,No,No,No,0,11,4,4,3
The Mulberry Tree,https://www.kentvenues.co.uk/venues/the-mulberry-tree,9,Critical,No,1637,0,0,No,No,Yes,No,No,No,No,Yes,No,No,No,0,10,3,4,3
The Net Centre,https://www.kentvenues.co.uk/venues/the-net-centre,13,Critical,No,270,0,0,No,No,No,No,No,Yes,No,Yes,Yes,No,No,1,10,3,4,3
The New Inn,https://www.kentvenues.co.uk/venues/the-new-inn,26,Critical,No,112,1,0,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,1,10,2,5,3
The Night Yard,https://www.kentvenues.co.uk/venues/the-night-yard,12,Critical,Yes,84,7,0,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,1,10,3,4,3
"The Oak Barn, Frame Farm",https://www.kentvenues.co.uk/venues/the-oak-barn,87,Warning,No,1984,5,6,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,3,4,0,1,3
The Oak Grove,https://www.kentvenues.co.uk/venues/the-oak-grove,41,Critical,No,370,6,0,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,0,8,2,3,3
The Old Kent Barn,https://www.kentvenues.co.uk/venues/the-old-kent-barn,52,Critical,No,437,4,0,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,0,8,1,2,5
The Olympic,https://www.kentvenues.co.uk/venues/the-olympic,40,Critical,No,229,3,0,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,3,8,2,2,4
The Orchards Events Venue,https://www.kentvenues.co.uk/venues/the-orchards-events-venue,70,Warning,No,484,4,3,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,3,6,0,3,3
The Paper Mill,https://www.kentvenues.co.uk/venues/the-paper-mill,21,Critical,No,248,1,0,No,No,No,No,No,Yes,No,Yes,No,No,No,0,10,2,5,3
The Plough and Barn at Leigh,https://www.kentvenues.co.uk/venues/the-plough-and-barn-at-leigh,40,Critical,No,399,4,0,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,1,8,2,2,4
The Pond Cafe,https://www.kentvenues.co.uk/venues/the-pond-cafe,59,Critical,No,772,5,0,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,0,7,1,2,4
The Pound at One Pound Lane,https://www.kentvenues.co.uk/venues/the-pound-at-one-pound-lane,55,Critical,No,460,6,2,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,3,7,1,3,3
The Quee Suite,https://www.kentvenues.co.uk/venues/the-quee-suite,87,Warning,No,4263,12,6,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,3,4,0,1,3
The Redstart Inn,https://www.kentvenues.co.uk/venues/the-redstart-inn,49,Critical,No,530,2,2,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,1,8,1,4,3
The Rising Sun,https://www.kentvenues.co.uk/venues/the-rising-sun,48,Critical,No,419,1,3,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,0,7,1,4,2
The Rochester Corn Exchange,https://www.kentvenues.co.uk/venues/the-rochester-corn-exchange,41,Critical,No,141,1,0,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,3,8,1,5,2
The Roffen Club,https://www.kentvenues.co.uk/venues/the-roffen-club,48,Critical,No,609,10,6,No,No,No,No,No,Yes,No,Yes,Yes,No,No,0,8,1,4,3
The Royal Oak Hotel,https://www.kentvenues.co.uk/venues/the-royal-oak-hotel,27,Critical,No,646,1,0,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,3,9,2,5,2
The Salad House,https://www.kentvenues.co.uk/venues/the-salad-house,12,Critical,No,761,0,0,No,No,Yes,No,No,No,No,No,No,No,No,1,8,4,2,2
The Secret Garden,https://www.kentvenues.co.uk/venues/the-secret-garden,63,Critical,No,858,8,1,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,3,6,1,2,3
The Shurland Hotel,https://www.kentvenues.co.uk/venues/the-shurland-hotel,71,Critical,No,652,4,6,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,3,5,1,1,3
The Source Bar,https://www.kentvenues.co.uk/venues/the-source-bar,50,Critical,No,396,3,1,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,1,8,1,3,4
The Spa Hotel,https://www.kentvenues.co.uk/venues/the-spa-hotel,95,Suggestions,No,2383,16,4,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,3,2,0,0,2
The Star & Eagle,https://www.kentvenues.co.uk/venues/the-star-eagle,46,Critical,No,275,4,1,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,1,8,1,4,3
The Swan Wine Kitchen,https://www.kentvenues.co.uk/venues/the-swan-wine-kitchen,29,Critical,No,385,1,0,No,No,Yes,No,No,Yes,No,Yes,No,No,No,0,9,2,4,3
The Tenterden Club,https://www.kentvenues.co.uk/venues/the-tenterden-club,46,Critical,No,1450,1,6,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,2,8,1,4,3
The Victoria Hotel,https://www.kentvenues.co.uk/venues/the-victoria-hotel,53,Critical,No,350,3,5,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,3,7,1,3,3
The White Bear,https://www.kentvenues.co.uk/venues/the-white-bear,50,Critical,No,711,3,2,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,1,8,1,3,4
The White Horse Inn,https://www.kentvenues.co.uk/venues/the-white-horse-inn,68,Critical,No,1015,5,4,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,1,5,1,2,2
The White Swan,https://www.kentvenues.co.uk/venues/the-white-swan,45,Critical,No,171,4,1,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,1,9,1,4,4
The Winding House,https://www.kentvenues.co.uk/venues/the-winding-house,66,Critical,No,711,3,2,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,0,6,1,2,3
The Woodville,https://www.kentvenues.co.uk/venues/the-woodville,25,Critical,No,398,0,0,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,0,8,3,2,3
The Workary Welling,https://www.kentvenues.co.uk/venues/the-workary-welling,23,Critical,No,226,2,0,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,1,10,2,5,3
The Yarrow,https://www.kentvenues.co.uk/venues/the-yarrow,34,Critical,No,0,4,2,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,3,8,2,3,3
